Departamentos;ventas_mañana;ventas_tarde;ventas_noche;ventas_totales;igv;transaccion_total;codigo_producto;membresia;tipo_atencion;tipo_clientes;cantidad_deboluciones
Ucayali;1255;4173;963;6391;1150.38;49;XXIPYZ;NO;exelente ;indecisos;42
Lima;1393;1743;3295;6431;1157.58;16;DW7MQA;NO;exelente ;leales ;68
Lima;7816;1260;3647;12723;2290.14;49;G3ABSE;NO;exelente ;leales ;32
Moquegua;5276;4525;1827;11628;2093.04;42;MH3BAX;NO;deficiente;indecisos;79
Huanuco;5703;2119;2481;10303;1854.54;41;WEXQYD;NO;estandar;exigentes;52
Amazonas;7699;4260;7005;18964;3413.52;29;MME8E7;SI;exepcional;leales ;23
La Libertad;9590;2673;7091;19354;3483.72;21;IHZHGD;SI;estandar;indecisos;65
Loreto;7742;1865;1225;10832;1949.76;35;EEBWC7;NO;deficiente;exigentes;23
Madre de Dios;9631;4375;4796;18802;3384.36;33;WC48D3;SI;deficiente;exigentes;51
Ancash;9730;4182;2616;16528;2975.04;47;7X4W3C;NO;exepcional;exigentes;46
Huanuco;5086;4958;2672;12716;2288.88;13;7WDA7E;NO;estandar;exigentes;66
Cajamarca;6300;4203;6125;16628;2993.04;18;3IBEIW;SI;deficiente;indecisos;39
Huanuco;7338;3534;4129;15001;2700.18;35;7IMX4H;NO;exelente ;leales ;63
Apurimac;3587;3036;4530;11153;2007.54;5;GDHQY4;SI;buena;leales ;79
San Martin;2693;4770;5222;12685;2283.3;41;G7IIBZ;NO;exelente ;exigentes;26
Lima;7854;4224;7851;19929;3587.22;48;MS8IAA;SI;exelente ;indecisos;48
Madre de Dios;9385;4694;6723;20802;3744.36;47;MC8BIE;NO;exepcional;leales ;75
Tacna;6914;2628;5880;15422;2775.96;10;DCGD7A;SI;exelente ;indecisos;44
Ayacucho;9149;4342;3158;16649;2996.82;12;78YZMS;SI;exepcional;indecisos;58
Arequipa;5822;923;4240;10985;1977.3;7;Z4GPMA;NO;deficiente;leales ;24
Ica;4350;2303;2000;8653;1557.54;45;4Q8ZYE;NO;exepcional;exigentes;68
Lima;3332;3666;2570;9568;1722.24;25;ZXMHYP;NO;exepcional;indecisos;61
Moquegua;9546;3370;3148;16064;2891.52;6;HQX7ZX;NO;buena;exigentes;72
Moquegua;3148;1289;7069;11506;2071.08;7;BSB4HC;SI;deficiente;exigentes;40
Amazonas;8806;2525;5291;16622;2991.96;16;ZWDZHD;SI;exelente ;leales ;55
Piura;8744;4174;2903;15821;2847.78;5;PY74GW;SI;deficiente;leales ;67
Piura;2854;3006;7474;13334;2400.12;27;8PEEWE;SI;exepcional;leales ;32
Pasco;9945;1035;7212;18192;3274.56;49;HDAYCS;NO;buena;exigentes;67
Huanuco;6842;4532;6630;18004;3240.72;30;WMPWCW;NO;exepcional;leales ;27
Piura;8762;2866;3001;14629;2633.22;4;WMD7GW;SI;deficiente;indecisos;56
Arequipa;2555;1142;7516;11213;2018.34;23;CIMXP3;SI;estandar;indecisos;41
Junin;5450;3258;4465;13173;2371.14;14;SEZYM4;SI;estandar;indecisos;50
Ucayali;7908;4917;7213;20038;3606.84;37;QHHH4P;NO;exelente ;indecisos;54
Arequipa;5904;3412;2851;12167;2190.06;23;WXQAIB;SI;buena;exigentes;58
Lambayeque;5370;2476;4887;12733;2291.94;19;QPSA43;SI;exepcional;exigentes;64
Tumbes;4057;2966;4732;11755;2115.9;36;AXDI8H;NO;buena;indecisos;62
Madre de Dios;2195;1036;6627;9858;1774.44;17;MDG4MW;SI;deficiente;leales ;65
Madre de Dios;3887;1417;4949;10253;1845.54;42;E8G34D;NO;estandar;indecisos;66
Arequipa;8882;2293;6721;17896;3221.28;25;G7C7P4;SI;deficiente;leales ;30
Puno;7304;3854;6626;17784;3201.12;40;DZY3PX;SI;buena;exigentes;38
Pasco;9226;1835;2290;13351;2403.18;34;PDIHD7;NO;buena;leales ;60
Madre de Dios;8955;2299;5128;16382;2948.76;27;DHW7DY;NO;exelente ;indecisos;58
Tumbes;1962;1398;4095;7455;1341.9;24;QII4CW;NO;exepcional;exigentes;20
Ica;4118;4226;1123;9467;1704.06;46;CWY3H3;SI;exepcional;leales ;64
Pasco;1602;4744;3885;10231;1841.58;48;BYBWIW;NO;exelente ;indecisos;55
Ayacucho;4550;2998;7760;15308;2755.44;6;4APA3A;NO;estandar;indecisos;71
Ucayali;4221;1730;7446;13397;2411.46;15;CS87ZG;NO;exepcional;exigentes;36
Loreto;4831;1453;1139;7423;1336.14;41;8HX4ZX;NO;buena;exigentes;78
Ancash;9867;4310;2724;16901;3042.18;34;SDXQXZ;SI;exelente ;exigentes;54
Pasco;1262;1483;1082;3827;688.86;14;DYDPAW;SI;exepcional;indecisos;32
Lima;5505;1328;5532;12365;2225.7;29;8Q7DXX;NO;exelente ;indecisos;59
Tumbes;6387;1069;4334;11790;2122.2;27;IMQWEA;NO;estandar;leales ;31
Loreto;6641;1640;6632;14913;2684.34;11;7YIQZH;SI;exepcional;indecisos;54
Arequipa;3054;3916;3635;10605;1908.9;40;PGSGHE;NO;exepcional;leales ;23
Apurimac;6949;2863;4019;13831;2489.58;23;YDZBP8;SI;deficiente;indecisos;65
Lambayeque;8693;3221;2678;14592;2626.56;24;CP3ACA;NO;exepcional;indecisos;44
Tumbes;8171;1198;7455;16824;3028.32;14;ADDIIC;SI;exelente ;indecisos;54
Ayacucho;6226;1849;5910;13985;2517.3;30;8PBYSS;NO;deficiente;leales ;21
Huancavelica;1722;4589;4132;10443;1879.74;21;WM8XGH;SI;buena;exigentes;27
Ancash;2314;4990;6499;13803;2484.54;8;ZPQ8EP;SI;exepcional;exigentes;34
Junin;5734;1192;1411;8337;1500.66;36;BI8EGE;NO;exepcional;leales ;31
Apurimac;1652;3082;1160;5894;1060.92;19;PB4EGC;SI;estandar;indecisos;79
Ica;3933;3081;7665;14679;2642.22;37;PYCP7Z;SI;buena;leales ;76
Amazonas;7942;2318;4845;15105;2718.9;35;8HEY8M;SI;deficiente;indecisos;76
Huanuco;8534;1494;6683;16711;3007.98;32;DD8PZZ;NO;exelente ;leales ;36
Ancash;9224;1016;2421;12661;2278.98;35;BDDQ88;NO;exelente ;indecisos;37
Ucayali;8764;4680;1218;14662;2639.16;8;34WEDE;NO;estandar;leales ;77
Madre de Dios;7563;3699;6946;18208;3277.44;37;PYHXI4;NO;exepcional;exigentes;63
Lambayeque;1578;4508;943;7029;1265.22;11;YCHB8A;NO;deficiente;leales ;38
Pasco;5976;2983;6719;15678;2822.04;9;PI4AXE;NO;deficiente;leales ;65
Cuzco;7727;4117;3611;15455;2781.9;47;XAPB3W;NO;buena;leales ;22
Moquegua;5771;3718;1580;11069;1992.42;26;QIB4E3;NO;exelente ;leales ;79
Puno;3978;3320;5907;13205;2376.9;7;37HZBY;NO;exelente ;leales ;40
Huancavelica;4789;1914;7915;14618;2631.24;32;WEWWZ7;NO;estandar;indecisos;52
Apurimac;1014;3222;3526;7762;1397.16;17;P8ZPXG;SI;buena;exigentes;43
Cuzco;9739;1066;4580;15385;2769.3;15;4ZXMHA;SI;deficiente;leales ;30
Lambayeque;9972;3831;3228;17031;3065.58;45;ISECAE;SI;deficiente;exigentes;75
Lima;1241;3225;5981;10447;1880.46;34;MHYAIC;SI;deficiente;exigentes;42
Ica;5639;1823;1719;9181;1652.58;7;EYXZM8;NO;exelente ;leales ;23
Cuzco;9081;3259;1482;13822;2487.96;7;IHXZIG;SI;buena;indecisos;55
Moquegua;4840;2219;5148;12207;2197.26;11;W77ZYI;SI;deficiente;leales ;46
Piura;2735;3072;1650;7457;1342.26;33;CWWIAE;SI;exepcional;leales ;55
Junin;5335;2505;2588;10428;1877.04;4;7H33HH;NO;exelente ;leales ;42
Lima;9055;1110;6739;16904;3042.72;10;S3EG4D;NO;exelente ;exigentes;35
Loreto;8475;4397;7391;20263;3647.34;2;BMY4H7;SI;deficiente;indecisos;42
San Martin;4674;2215;4216;11105;1998.9;35;H4HP74;NO;exelente ;leales ;30
Huanuco;7734;4370;2434;14538;2616.84;37;44DCXD;NO;exelente ;leales ;66
Lima;7051;4440;6448;17939;3229.02;40;HS4BBE;NO;estandar;exigentes;49
Lima;9249;2013;3410;14672;2640.96;6;PDCHIB;NO;exepcional;exigentes;55
Ayacucho;9664;1105;5905;16674;3001.32;46;WI3QH4;SI;exelente ;indecisos;37
Cajamarca;5333;3337;3983;12653;2277.54;9;B7ZYM3;NO;exepcional;leales ;76
Tumbes;7899;2414;6158;16471;2964.78;46;SIDDCI;NO;exelente ;leales ;62
Ucayali;8579;1436;6313;16328;2939.04;15;W48S3E;NO;deficiente;exigentes;52
Puno;4909;2227;6569;13705;2466.9;41;MQ7SHW;SI;exelente ;indecisos;72
Huanuco;4452;2318;6734;13504;2430.72;49;IBIQ4C;SI;estandar;leales ;46
Junin;4968;2938;2965;10871;1956.78;41;4474QP;SI;exelente ;exigentes;40
La Libertad;7737;1383;7810;16930;3047.4;30;CGXBES;SI;estandar;leales ;42
Lima;6753;2192;7357;16302;2934.36;43;CM3WPI;SI;buena;exigentes;69
Arequipa;6761;1361;7659;15781;2840.58;31;XDAGQQ;SI;deficiente;indecisos;76
Ayacucho;3438;4742;3289;11469;2064.42;12;SC8YE7;NO;buena;exigentes;40
Arequipa;2455;1381;3997;7833;1409.94;26;DWXPAD;SI;deficiente;indecisos;49
Huanuco;3819;1817;2350;7986;1437.48;9;PA8W7M;NO;exepcional;indecisos;71
San Martin;6911;3331;4979;15221;2739.78;25;DSEMH7;SI;exelente ;indecisos;52
Ayacucho;8986;3711;6509;19206;3457.08;20;8WEHDH;SI;estandar;leales ;54
Arequipa;1422;1180;4035;6637;1194.66;12;3BW78X;SI;estandar;leales ;24
Ica;6498;2346;1409;10253;1845.54;19;A8WAQY;NO;buena;leales ;47
Arequipa;4557;3628;7913;16098;2897.64;7;YC78XS;SI;exelente ;exigentes;80
Lima;5486;1357;2905;9748;1754.64;42;HZ7PY7;NO;buena;leales ;30
Ancash;4163;1565;1463;7191;1294.38;12;Z78EES;SI;estandar;exigentes;28
Lambayeque;7228;3141;5183;15552;2799.36;43;MHA77C;SI;exepcional;indecisos;21
Loreto;7581;4103;1830;13514;2432.52;42;EP878C;NO;buena;exigentes;65
Pasco;1744;4510;7031;13285;2391.3;11;4P3AWB;NO;estandar;exigentes;60
Tumbes;6792;1599;2786;11177;2011.86;18;IZQQ8P;NO;buena;exigentes;56
Ayacucho;2156;1232;3625;7013;1262.34;5;WAHSIB;SI;deficiente;indecisos;70
Tacna;8596;4723;7982;21301;3834.18;38;ZBAMA3;SI;exelente ;indecisos;78
San Martin;6481;4707;3089;14277;2569.86;48;PDEABA;NO;buena;leales ;75
Junin;6897;3150;5838;15885;2859.3;23;SIHDCQ;NO;estandar;exigentes;66
Cuzco;9296;4877;1350;15523;2794.14;29;4WYAGI;SI;exelente ;leales ;32
Tumbes;5893;1155;6797;13845;2492.1;47;XIYBMD;SI;exelente ;indecisos;42
Loreto;6330;2993;2972;12295;2213.1;30;PZZCMI;SI;exelente ;exigentes;29
Ica;1388;1037;4387;6812;1226.16;5;BMG77E;SI;estandar;leales ;80
Junin;8223;4768;6533;19524;3514.32;38;CEBGDC;NO;exepcional;leales ;24
Lima;6910;1097;5822;13829;2489.22;40;IC4EYX;NO;exepcional;exigentes;44
La Libertad;3867;4094;4299;12260;2206.8;7;XCWAHC;SI;deficiente;exigentes;61
Ucayali;7773;1360;4882;14015;2522.7;43;BEDGB7;NO;estandar;leales ;78
Lima;2064;2691;5053;9808;1765.44;15;74BHSW;SI;estandar;indecisos;33
Moquegua;4574;2463;6345;13382;2408.76;16;7AGAEI;SI;deficiente;exigentes;55
Ancash;5991;2722;7284;15997;2879.46;7;3CEDSB;SI;exepcional;exigentes;20
Junin;3927;2663;3365;9955;1791.9;46;EMQ8DE;NO;estandar;indecisos;37
Moquegua;4579;3529;4519;12627;2272.86;32;MS8PZX;NO;exepcional;leales ;56
Lambayeque;5877;2051;5419;13347;2402.46;48;PXZISC;SI;exelente ;exigentes;55
Pasco;2387;4246;4115;10748;1934.64;18;DC4Z8B;NO;buena;indecisos;31
Tacna;8701;1608;5842;16151;2907.18;42;HCQ77W;NO;estandar;indecisos;54
Cajamarca;6827;2775;5308;14910;2683.8;16;4QBBWB;NO;estandar;indecisos;23
Arequipa;8564;4876;7966;21406;3853.08;9;88P4AG;NO;deficiente;leales ;23
San Martin;7146;1462;6122;14730;2651.4;43;QWQDES;NO;buena;leales ;24
Lambayeque;1633;4775;3333;9741;1753.38;31;XIEBIA;NO;deficiente;exigentes;80
Puno;9847;2958;4512;17317;3117.06;33;YISH74;SI;estandar;leales ;60
Ancash;5555;3663;1384;10602;1908.36;48;CCDMBG;NO;exepcional;exigentes;37
Ucayali;7383;3027;2669;13079;2354.22;38;QD3GG3;SI;estandar;leales ;37
Ucayali;4273;4908;3636;12817;2307.06;50;HMYZQD;NO;exelente ;leales ;51
Tacna;2544;1411;6810;10765;1937.7;30;8MZY87;SI;estandar;indecisos;49
San Martin;8369;4381;7504;20254;3645.72;15;XXXPSC;SI;estandar;indecisos;37
Junin;3411;1342;5004;9757;1756.26;26;AW4CHB;SI;exepcional;exigentes;63
Cuzco;1846;2337;3224;7407;1333.26;11;EQMHH4;NO;exelente ;exigentes;20
Huanuco;5149;998;5904;12051;2169.18;8;PI4C78;SI;exelente ;leales ;67
Pasco;2808;2511;1741;7060;1270.8;26;Z8D8SZ;SI;buena;leales ;21
Madre de Dios;5258;1912;1766;8936;1608.48;6;SE8M4P;SI;exepcional;exigentes;41
Lima;4573;1962;7228;13763;2477.34;26;W7WGXS;SI;buena;indecisos;47
San Martin;1317;3902;4084;9303;1674.54;44;XI3WCM;NO;exelente ;exigentes;60
Pasco;2914;3929;1938;8781;1580.58;19;37BA4S;NO;exepcional;leales ;56
Puno;7335;1472;5032;13839;2491.02;45;73EHBE;NO;estandar;exigentes;27
Ucayali;3997;1270;2003;7270;1308.6;15;YYBII8;SI;exelente ;indecisos;22
Tumbes;4411;3330;1109;8850;1593;5;PZCECQ;SI;deficiente;leales ;57
Ancash;9257;3706;1402;14365;2585.7;4;3ZZYIE;NO;buena;exigentes;44
Arequipa;7066;1684;7054;15804;2844.72;44;SQZYQG;NO;exelente ;indecisos;37
Lima;8886;1303;958;11147;2006.46;49;74EDPE;NO;deficiente;leales ;67
Ancash;9159;2669;6252;18080;3254.4;7;XYBXX8;SI;exepcional;exigentes;29
Arequipa;8996;4969;3159;17124;3082.32;6;GDEDPA;SI;deficiente;leales ;62
San Martin;7284;1685;5519;14488;2607.84;18;CZ7Z4I;NO;deficiente;leales ;44
Lima;3305;4740;7055;15100;2718;27;G7SDSD;NO;exepcional;exigentes;52
Huanuco;8046;1979;6643;16668;3000.24;37;7CBDHA;SI;estandar;leales ;58
Cuzco;6966;4256;3387;14609;2629.62;22;MHQQYZ;NO;exepcional;indecisos;77
Lambayeque;1516;2427;5360;9303;1674.54;4;DHAYXD;SI;exelente ;exigentes;49
San Martin;3687;4611;1590;9888;1779.84;24;ZWEISQ;SI;deficiente;indecisos;52
Lima;8563;1021;1956;11540;2077.2;2;QSY374;NO;exepcional;exigentes;57
Pasco;1554;1157;7741;10452;1881.36;32;BYSGAG;SI;estandar;indecisos;70
La Libertad;6181;1072;4049;11302;2034.36;4;MX7X3A;SI;deficiente;leales ;48
Ica;4289;1124;5074;10487;1887.66;45;ZPEG8I;NO;exelente ;leales ;54
San Martin;6622;4603;5377;16602;2988.36;14;3C87AX;NO;deficiente;exigentes;74
Junin;7347;4667;5423;17437;3138.66;39;YSEXMB;NO;buena;exigentes;31
Ucayali;4861;1116;3296;9273;1669.14;40;7CXX47;SI;exelente ;leales ;75
Ayacucho;2521;1038;6611;10170;1830.6;16;M8X7QG;SI;exepcional;leales ;66
Apurimac;5355;2567;2366;10288;1851.84;6;XA83CB;NO;exelente ;exigentes;42
Loreto;4661;2441;6411;13513;2432.34;19;QYD3C7;NO;exelente ;exigentes;50
Huancavelica;2006;1950;7260;11216;2018.88;14;GBSXAS;NO;exelente ;leales ;50
Tumbes;7050;3634;3865;14549;2618.82;47;CEHEMM;NO;deficiente;exigentes;79
Moquegua;4848;1695;6371;12914;2324.52;27;7Q333Y;SI;estandar;exigentes;50
San Martin;6235;3470;5889;15594;2806.92;46;APAEBA;NO;exepcional;indecisos;47
Apurimac;6206;1155;2466;9827;1768.86;21;8DIWXQ;SI;buena;indecisos;52
Moquegua;8817;1740;2849;13406;2413.08;40;D37ISH;NO;estandar;leales ;77
Ica;4593;3127;7378;15098;2717.64;9;B8E4YW;NO;deficiente;leales ;52
San Martin;6301;2631;3841;12773;2299.14;16;48XGSC;NO;deficiente;indecisos;76
Moquegua;3291;3371;4457;11119;2001.42;13;D7IZXY;SI;estandar;indecisos;51
Piura;4791;3231;4776;12798;2303.64;3;MZX8AH;SI;estandar;exigentes;69
Loreto;8538;3544;3556;15638;2814.84;18;AXDZEP;NO;deficiente;indecisos;56
Junin;3571;4420;1342;9333;1679.94;4;SAMHPI;SI;buena;indecisos;55
Ica;3485;2030;5242;10757;1936.26;24;GHMPYE;NO;estandar;exigentes;30
Lima;7021;4398;7000;18419;3315.42;50;IQIGWD;NO;deficiente;indecisos;34
San Martin;7211;4686;3715;15612;2810.16;8;DSP8YX;NO;exelente ;leales ;37
Lima;7021;3501;2515;13037;2346.66;40;PP8MXY;SI;estandar;exigentes;46
Cuzco;2052;2047;4453;8552;1539.36;17;3AZXY4;NO;estandar;indecisos;25
Cajamarca;2983;1692;2800;7475;1345.5;33;8X7BPS;SI;exelente ;leales ;55
Junin;6597;1980;1794;10371;1866.78;4;IXAWHC;SI;buena;exigentes;61
Madre de Dios;4290;4318;2110;10718;1929.24;8;HMDBWZ;NO;buena;indecisos;44
Lambayeque;6062;3799;5354;15215;2738.7;8;MEPPYS;SI;exelente ;exigentes;68
Tacna;4154;1411;5003;10568;1902.24;46;HMHSB7;NO;exelente ;exigentes;77
Ancash;9522;2386;6883;18791;3382.38;37;P4D4WZ;SI;exepcional;exigentes;29
Ancash;8415;4174;7561;20150;3627;24;H4CI4S;SI;exepcional;leales ;75
Huanuco;8261;2545;6858;17664;3179.52;17;BWMXWQ;SI;exepcional;leales ;69
Amazonas;7875;1835;6047;15757;2836.26;34;4MGQ4Y;SI;buena;indecisos;24
Moquegua;4374;3107;6496;13977;2515.86;30;C4GI3X;NO;exelente ;indecisos;54
Puno;7352;2250;2974;12576;2263.68;9;IPMQSW;SI;buena;leales ;67
Ica;7904;4789;7271;19964;3593.52;50;SMMGHG;SI;exelente ;leales ;39
Cuzco;8295;2849;4205;15349;2762.82;8;GBDEMA;SI;deficiente;exigentes;55
Amazonas;3200;3790;4099;11089;1996.02;43;7ZSEAG;NO;buena;leales ;26
Lima;7726;2134;4260;14120;2541.6;36;ZI3AMS;SI;exepcional;indecisos;78
Lambayeque;5806;3452;5789;15047;2708.46;24;8EPGEB;NO;buena;leales ;24
Madre de Dios;8798;1503;6450;16751;3015.18;9;QWBMCM;NO;exelente ;exigentes;44
Huanuco;6528;3684;6640;16852;3033.36;23;IWMX7B;SI;deficiente;leales ;30
Lima;7756;2077;2983;12816;2306.88;49;PMA8X3;SI;buena;indecisos;34
Moquegua;7993;3573;4491;16057;2890.26;30;PHI4B4;NO;exelente ;indecisos;43
San Martin;1160;3122;7089;11371;2046.78;40;ZIHWM7;NO;exelente ;indecisos;78
Loreto;7617;1892;913;10422;1875.96;13;HZIM7C;NO;estandar;exigentes;75
Ucayali;4288;4840;3964;13092;2356.56;27;4YMAZA;NO;estandar;indecisos;44
San Martin;6505;2016;2723;11244;2023.92;13;7GHE8A;NO;estandar;leales ;22
Tumbes;3600;2981;5632;12213;2198.34;6;EZSAZH;SI;buena;exigentes;41
Cuzco;2751;4072;5425;12248;2204.64;30;GPYAAH;NO;exepcional;indecisos;73
Madre de Dios;2837;3308;2604;8749;1574.82;8;WGEIEC;NO;buena;indecisos;71
Ucayali;1573;4626;3028;9227;1660.86;48;BZ37AP;SI;exepcional;indecisos;74
Loreto;3898;2531;5922;12351;2223.18;23;CAZSB7;SI;exepcional;exigentes;51
Pasco;3192;2723;1811;7726;1390.68;15;PXYX3A;NO;buena;exigentes;61
Moquegua;9637;3277;2328;15242;2743.56;36;GHEWWG;SI;buena;leales ;58
Cajamarca;9540;2476;3102;15118;2721.24;34;CCYHDD;SI;buena;leales ;42
Lambayeque;9393;1006;1525;11924;2146.32;13;GQS4S7;NO;buena;exigentes;21
Tacna;2120;3871;2528;8519;1533.42;43;BQHP48;SI;deficiente;exigentes;26
Ucayali;4048;4326;3693;12067;2172.06;33;ZBH8GM;SI;exepcional;leales ;49
Ucayali;7898;3064;5763;16725;3010.5;44;DAPX3H;SI;buena;leales ;51
Loreto;1409;3539;7025;11973;2155.14;49;8AA4SS;SI;exepcional;exigentes;39
Ancash;4688;1268;4787;10743;1933.74;45;ZE8X7S;SI;estandar;indecisos;42
Moquegua;8867;4892;3196;16955;3051.9;22;D38EPM;SI;exepcional;exigentes;71
Loreto;7919;1348;7437;16704;3006.72;7;Z7PPEM;SI;exelente ;indecisos;40
Cuzco;1703;1020;6882;9605;1728.9;47;YS4QZG;NO;deficiente;exigentes;50
San Martin;9468;2193;4581;16242;2923.56;34;W4HWAB;NO;exepcional;indecisos;80
Pasco;4641;2096;4205;10942;1969.56;41;P4PGQW;NO;exelente ;leales ;50
Ancash;5642;3555;7349;16546;2978.28;48;BXYHGY;SI;exepcional;indecisos;41
Lima;6648;1427;3710;11785;2121.3;42;I8QD4A;SI;deficiente;leales ;50
Piura;2365;3073;5567;11005;1980.9;33;YBAIXB;SI;estandar;indecisos;52
Huanuco;5173;2220;1555;8948;1610.64;22;EYEP7I;SI;estandar;leales ;62
Moquegua;5247;2061;7449;14757;2656.26;15;YYD4ZC;SI;deficiente;indecisos;47
Madre de Dios;1947;2649;3273;7869;1416.42;50;3MZMAS;NO;exepcional;leales ;62
Puno;3048;2738;2784;8570;1542.6;16;SXA83I;NO;exelente ;indecisos;37
Arequipa;1750;3089;2032;6871;1236.78;23;3SEGGG;NO;exepcional;indecisos;49
Ica;2343;1028;2001;5372;966.96;46;MIQZZI;NO;estandar;leales ;40
Puno;2018;4488;4572;11078;1994.04;38;AGI8S4;NO;deficiente;leales ;76
Madre de Dios;1014;2124;7796;10934;1968.12;3;W3Z83G;NO;exepcional;exigentes;37
Arequipa;5627;4881;2213;12721;2289.78;13;S4PDZM;SI;exelente ;indecisos;56
Loreto;2728;2556;6629;11913;2144.34;35;GWA7IC;SI;deficiente;leales ;62
Lambayeque;4162;3483;1716;9361;1684.98;11;S7WQXQ;SI;estandar;exigentes;78
La Libertad;5376;1589;1426;8391;1510.38;5;WAP3HG;NO;deficiente;leales ;59
Cajamarca;6214;4512;5894;16620;2991.6;38;DXXHCI;NO;deficiente;leales ;43
Tacna;2869;1803;6966;11638;2094.84;32;A8IE33;SI;exelente ;exigentes;64
Moquegua;4658;3635;4736;13029;2345.22;43;WGWQXY;NO;deficiente;leales ;56
Cuzco;3782;3931;1761;9474;1705.32;38;8QXA88;NO;exepcional;indecisos;63
Ica;5113;1798;6637;13548;2438.64;16;GCDD4P;NO;buena;exigentes;64
Apurimac;7581;2786;5032;15399;2771.82;22;PYQHBM;SI;buena;leales ;31
Ancash;7161;1878;2442;11481;2066.58;15;AAGPWE;SI;estandar;leales ;38
Lambayeque;6319;3958;5119;15396;2771.28;42;74EPQP;SI;exelente ;leales ;43
Junin;9964;2765;926;13655;2457.9;8;8PZ787;SI;estandar;leales ;24
Moquegua;5191;4356;7289;16836;3030.48;32;7SCG7C;SI;exepcional;leales ;26
Huanuco;5683;4002;1361;11046;1988.28;14;SPI3AX;SI;buena;exigentes;71
Apurimac;1343;1321;7605;10269;1848.42;49;MYIWHD;SI;deficiente;indecisos;33
Apurimac;3838;2074;7799;13711;2467.98;41;DX3CQY;SI;estandar;leales ;65
Moquegua;6691;4521;3099;14311;2575.98;27;DBZWSD;NO;estandar;exigentes;70
Apurimac;4966;4416;6100;15482;2786.76;31;YGXEWC;NO;buena;indecisos;45
La Libertad;6077;3758;5879;15714;2828.52;43;SY7DYD;NO;estandar;leales ;76
San Martin;7563;4224;5099;16886;3039.48;32;ZQY7P8;NO;exelente ;exigentes;46
Ica;9996;3523;2497;16016;2882.88;36;DEW7X8;SI;estandar;indecisos;60
Ucayali;9322;4475;5490;19287;3471.66;46;87G77E;SI;buena;indecisos;73
Cuzco;7477;1658;5088;14223;2560.14;12;7CXAP3;NO;estandar;leales ;52
Huanuco;7560;2271;3772;13603;2448.54;38;X7EPH8;SI;exepcional;leales ;24
Lambayeque;4975;4705;3968;13648;2456.64;45;4PD4YC;SI;buena;exigentes;77
Ayacucho;4466;1200;1605;7271;1308.78;15;IGBX3Z;NO;exelente ;exigentes;28
Moquegua;7762;4792;6271;18825;3388.5;16;8ZQWQM;SI;exepcional;leales ;60
Piura;3549;4415;3993;11957;2152.26;50;HDZDPP;SI;exelente ;exigentes;68
San Martin;8647;3370;5003;17020;3063.6;43;PG8QAQ;SI;deficiente;indecisos;25
Ayacucho;9303;4599;3092;16994;3058.92;36;BDBWQE;NO;exepcional;exigentes;38
Loreto;4899;2661;3599;11159;2008.62;19;QQABS7;SI;deficiente;exigentes;38
Lima;4889;1718;1402;8009;1441.62;10;HWSEIY;SI;estandar;indecisos;27
Cajamarca;5598;1371;6826;13795;2483.1;45;MZII3W;NO;deficiente;exigentes;69
Cuzco;1978;3437;6063;11478;2066.04;43;CZEZYM;NO;estandar;leales ;42
Piura;8887;2137;6139;17163;3089.34;31;YEQWHM;NO;exepcional;exigentes;26
Cajamarca;1884;1712;7553;11149;2006.82;19;I4ESBI;NO;exelente ;exigentes;31
Junin;9009;1931;5216;16156;2908.08;4;EGBP8W;SI;deficiente;indecisos;70
Moquegua;7687;2543;7575;17805;3204.9;33;EBBADH;NO;exepcional;exigentes;70
Huancavelica;4092;4738;2115;10945;1970.1;8;HQHQZE;NO;estandar;leales ;67
Tacna;8459;1043;1168;10670;1920.6;3;PXQXDC;NO;buena;exigentes;20
Cuzco;9218;1597;6694;17509;3151.62;27;WZA4ZP;SI;deficiente;indecisos;43
Moquegua;6050;3089;5315;14454;2601.72;7;CIPDBC;NO;exelente ;indecisos;68
Amazonas;4092;1355;7032;12479;2246.22;31;Q4SZZZ;SI;exelente ;leales ;42
La Libertad;7093;3003;7637;17733;3191.94;7;GYXCPA;SI;buena;indecisos;45
Ayacucho;6906;1977;3346;12229;2201.22;13;8CSWAB;NO;exepcional;exigentes;68
Ayacucho;5642;3614;5029;14285;2571.3;10;HE7QY3;NO;deficiente;leales ;51
Huancavelica;9104;4544;4899;18547;3338.46;28;HBD7QH;SI;exelente ;indecisos;65
Junin;7707;2713;7699;18119;3261.42;33;HPPSG4;NO;buena;exigentes;58
Ayacucho;9201;2616;4675;16492;2968.56;4;7ZBZ33;NO;deficiente;leales ;34
Piura;9801;2372;7459;19632;3533.76;7;XMQG47;NO;buena;exigentes;53
Ayacucho;7920;4680;1331;13931;2507.58;17;ZGCDEI;NO;buena;exigentes;25
Moquegua;6474;4317;6074;16865;3035.7;14;SXBCXW;NO;exepcional;exigentes;54
Huanuco;4986;3088;2983;11057;1990.26;11;IHQCCD;SI;exelente ;exigentes;62
Arequipa;5619;2111;2268;9998;1799.64;2;4G44MB;NO;exelente ;indecisos;21
Cajamarca;6669;1131;3851;11651;2097.18;6;SWPZAH;NO;deficiente;indecisos;80
Ucayali;7546;3162;7025;17733;3191.94;19;Q3HGWI;SI;buena;indecisos;76
La Libertad;5559;3965;924;10448;1880.64;21;Z3ADGW;SI;estandar;leales ;47
Lima;1527;3145;5816;10488;1887.84;22;X4QESW;NO;deficiente;indecisos;65
